Name,BrandName,GramsInPortion,Protein,Fat,Carbohydrates,Kcal,Kj
Сыр творожный сливочный,Hochland,140,6.1,22.2,3.5,235.42,985
Сметана,Простоквашино,0,2.7,15,3.6,158.22,662
Молоко Простоквашино отборное пастеризованное бут,Простоквашино,930,3.2,3.5,4.7,63.1,264
Вода питьевая «Святой Источник»® /«Saint Spring»® негазированная,"Saint Spring,Святой Источник",1500,0,0,0,0,0
HEINZ Томатный Кетчуп,Heinz,320,1,0.1,25,110.18,461
Кетчуп томатный,Heinz,800,1,0.1,25,109.94,460
Хлеб пшеничный,Harrys,470,8,6,48,280.59,1174
"Молоко Простоквашино 2,5 % бут. пастеризованное 930мл",Простоквашино,930,2.9,2.5,4.9,53.78,225
Молоко сгущенное цельное с сахаром ГОСТ 31688-2012,Рогачевъ,380,8,8.5,56,329.83,1380
Xtra твикс,Twix,82,3.9,24,65.4,494.26,2068
"Молоко ультрапастеризованное 3,5 %",Parmalat,1000,3,3.5,4.7,62.14,260
Молочный шоколад,Babyfox,45,8,38,49,567.64,2375
Хлебцы цельнозерные,Хлебцы Молодцы,100,11,2.3,57.1,289.2,1210
Слобода для жарки и салатов,Слобода,1000,0.01,99.9,0.01,899.62,3764
Snickers Super,Snickers,80,8,25.4,58.8,499.04,2088
Biscuit Choco Boy Orion 45G Corée,Orion,45,8,27,56,499.04,2088
Подсолнечное масло рафинированное дезодорированное,Золотая семечка,920,0,99.9,0,883.37,3696
Вода питьевая Святой Источник негазированная,Святой Источник,500,0,0,0,0,0
Сметана Простоквашино 20%,,300,2.5,20,3.4,200.76,840
Биойогурт АктиБио,АО Данон Россия,,4.8,3.5,7,79.11,331
Кетчуп ОСТРЫЙ  Heinz,Heinz,0,1,0.1,25,107.55,450
TEOS Йогурт Греческий 2%,Савушкин,140,8,2,4.2,66.68,279
Молоко отборное,Домик в деревне,930,3.1,4.7,3.9,66.92,280
Choco Pie,Orion,30,4.5,18,63,429.97,1799
лесной орех сникерс,Марс,81,10.6,27.9,47.7,506.69,2120
Майонез 67 % Провансаль 800,Слобода,800,0.4,67,2.1,613.29,2566
Пудинг молочный «High Protein» со вкусом шоколада,Ehrmann,200,10,1.5,6,80.07,335
Сыр творожный Hochland сливочный,Hochland,0,6.1,22.2,3.5,235.42,985
Добрый cola,Мултон партнерс,,0,0,10.6,42.07,176
Геркулес Монастырский,Русский продукт,500,12,6,62,365.68,1530
Aktibio jordbær,Aktibio,260,2.9,1.5,11.9,73.37,307
молоко простоквашино 3.2%,простоквашино,,3.1,3.2,4.7,59.99,251
Vaniljekremost i melkesjokolade,Ростагрокомплекс,50,8.1,28.1,32.4,413.05,1728.2
Геркулес традиционный,Русский продукт,500,12,6,62,359.94,1506
Французский крекер с кунжутом,Яшкино,185,7.5,22,62,478.01,2000
Choco-Pie,Orion,30,4.5,18,63,429.97,1799
Original Taste,Coca-Cola,1000,0,0,10.6,43.02,180
ЯШКИНО ВАФЛИ ГЛАЗИРОВАННЫЕ С ОРЕШКАММ,Яшкино,200,6,32,55,530.59,2220
"Молоко питьевое ультрапастеризованное 3,2 %",Село Зелёное,950,3,3.2,4.7,59.75,250
Adrenaline Rush,Adrenaline,449,0.5,0,12.5,54.97,230
Oat chocolate milk,Сады Придонья,1000,1,3.2,9.5,71.7,300
Томатная паста,помидорка,270,5,0.5,16,90.11,377
Творог «Мягкий Нежный» 0.1%,Савушкин,125,10,0.1,1,45.58,190.7
